Created_at;tweets
2020-03-19 18:28:59;@Aiker17939920 @Lrihendry @WhiteHouse @realDonaldTrump Seek psycological aid.
2020-03-19 18:28:59;@WhiteHouse @realDonaldTrump I hope that every undocumented immigrant is included in the $1k giveaway program. Oh,… https://t.co/6EDp0L7NaR
2020-03-19 18:28:58;@punkin54596 @Hallelluyaah @WhiteHouse @POTUS H1N1 ring any bells?  look it up...
2020-03-19 18:28:58;@tedlieu @WhiteHouse More lies from Ted Lieu....will it ever end ????? He cannot do anything constructive for anyon… https://t.co/iVhYFW4gEf
2020-03-19 18:28:58;@tedlieu @WhiteHouse Sit down! Now is not the time for you to play High and Mighty. No one gives a F!
2020-03-19 18:28:53;@tedlieu @WhiteHouse Hey Ted, why don’t you play a partial recording of Candice Owens in the attempt to try paint a… https://t.co/vLgZXv00g0
2020-03-19 18:28:53;@WhiteHouse @realDonaldTrump and you will be out of office!   Just eight more months of this loser
2020-03-19 18:28:53;@JackRoberts889 @SuiGeneris24601 @WhiteHouse We need to blow it all up my man. It’s too bad WE THE PEOPLE won’t qui… https://t.co/44r8dDpQSS
2020-03-19 18:28:50;Lmfao shut the fuck up https://t.co/32MdXtUz3X
2020-03-19 18:28:50;@WhiteHouse Yeah, after he’s gone and in prison
2020-03-19 18:28:50;@WhiteHouse Mad cow was from the UK, Spanish flu from the US
2020-03-19 18:28:49;@tedlieu @WhiteHouse I’m sure the Chinese Americans are glad we are calling out the communist Chinese Government fo… https://t.co/KS5DX0AgH4
2020-03-19 18:28:47;@WhiteHouse @realDonaldTrump The medical supply hoarders are more likely to cough up some of their resources if the… https://t.co/avOMmobdAA
2020-03-19 18:28:45;@Thatbbqdude1 @JodieMoss76 @WhiteHouse That's one of the dumbest things I've ever read. But I'm not surprised. #MAGAts are dumb af.
2020-03-19 18:28:45;@staceyf41884655 @CrymsonDj @GovMikeDeWine @WhiteHouse @PBS @NPR Its only payments on personal and Corporation taxe… https://t.co/HWs2xrN4Rd
2020-03-19 18:28:45;@WhiteHouse @Surgeon_General Be a member of the Trump Klan so you can hide at home like #typhoidIvanka
2020-03-19 18:28:44;@WhiteHouse @realDonaldTrump Mr President you should declare a total lockdown ‘ some companies in d Bay Area of San… https://t.co/TqCUv7M7Cs
2020-03-19 18:28:44;@WhiteHouse @realDonaldTrump Yeah, did his arse sign for those critical TEST?
2020-03-19 18:28:44;"@WhiteHouse @realDonaldTrump Money not important at this time! Saving American lives is!
Thanks and We love you all!"
2020-03-19 18:28:43;Morons https://t.co/U4k7kQxbmv
